,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time,Prediction Time
ANN,0.7726,0.3154016212232867,0.24139875916525663,0.273482428115016,0.6333574104387552,16.19086742401123,1.183549165725708
LSTM,0.7601,0.3063118811881188,0.27918781725888325,0.29212156978459725,0.6391567226918697,12.74942398071289,2.18263840675354
XGBoost,0.6539,0.2334175615919141,0.4168076706147772,0.29925086049807653,0.5796626202458428,1.0682353973388672,0.042471885681152344
Random Forest,0.639,0.24192188817083451,0.4856175972927242,0.32295573893473367,0.602990161225426,14.659399509429932,0.357696533203125
Gradient Boosting,0.6334,0.2454961011024469,0.514946418499718,0.33248361252731246,0.6245588463446711,14.763087272644043,0.038522958755493164
Logistic Regression,0.6094,0.24588992137240887,0.5820642978003384,0.3457286432160804,0.6413779247907188,0.7793242931365967,0.0068395137786865234
SVM,0.589,0.24176795580110497,0.6170332769317541,0.3474118767862814,0.6273589753134943,61.303375005722046,6.306097030639648
KNN,0.5884,0.2057272042200452,0.4619289340101523,0.2846715328467153,0.5533885817892484,0.2670726776123047,1.5120611190795898
Decision Tree,0.554,0.22361653980662416,0.6130851663846588,0.32770575821525477,0.5961012776839578,0.2497873306274414,0.004430294036865234
